id,created_at,updated_at,is_active,icon,parent_id,has_options,type,title,description
01KHPX62GMJQ36FK,2024-03-14 20:41:42.380402+00,,true,,01KHPX62GK7N1ZXV,,standard,"{""az"":""Kəsim və Saç tökülməsi"",""en"":"""",""ru"":""""}","{""az"":""Kəsim və Saç tökülməsi\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJQCQHZ,2024-03-12 19:30:31.17321+00,,true,,01KHPX62GK3SDAX9,,standard,"{""az"":""Uşaq ədəbiyyatı"",""en"":"""",""ru"":""""}","{""az"":""Uşaq ədəbiyyatı\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJTJ3HZ,2024-03-15 19:25:29.99544+00,,true,,01KHPX62GKDV7R2J,,standard,"{""az"":""Şirin sular"",""en"":"""",""ru"":""""}","{""az"":""Şirin sular\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJTMVX7,2024-03-07 20:14:57.877923+00,,true,,01KHPX62GKETSNBZ,,standard,"{""az"":""Təhlükəsizlik və Müdafiə"",""en"":"""",""ru"":""""}","{""az"":""Təhlükəsizlik və Müdafiə"",""en"":"""",""ru"":""""}"
01KHPX62GMJVZD24,2024-03-14 20:50:51.86895+00,,true,,01KHPX62GK2JN6MY,,standard,"{""az"":""Şəxsi sağlamlıq"",""en"":"""",""ru"":""""}","{""az"":""Şəxsi sağlamlıq\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMK1M8HD,2024-03-12 20:01:14.227768+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Məktəbdə hazırlıq kursu"",""en"":"""",""ru"":""""}","{""az"":""Məktəbdə hazırlıq kursu\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMK7TJSP,2024-03-07 19:57:32.518129+00,,true,,01KHPX62GKGX3BSS,,standard,"{""az"":""Yük və kənd təsərrüfatı"",""en"":"""",""ru"":""""}","{""az"":""Yük və kənd təsərrüfatı"",""en"":"""",""ru"":""""}"
01KHPX62GMK7VYM0,2024-03-15 19:56:56.64132+00,,true,,01KHPX62GKNXP8R5,,standard,"{""az"":""Cemlər"",""en"":"""",""ru"":""""}","{""az"":""Cemlər\n"",""en"":"""",""ru"":""""}"
01KHPX62GMKEMY3B,2024-03-16 20:35:23.954305+00,,true,,01KHPX62GMS14PAB,,standard,"{""az"":""Gözəllik salonları"",""en"":"""",""ru"":""""}","{""az"":""Gözəllik salonları\n"",""en"":"""",""ru"":""""}"
01KHPX62GMKMWP4Z,2024-03-14 06:14:11.806763+00,,true,,01KHPX62GJH5VHNM,,standard,"{""az"":""Saç üçün düzləşdirmə alətləri"",""en"":"""",""ru"":""""}","{""az"":""Saç üçün düzləşdirmə alətləri\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMKNKHTZ,2024-03-14 20:49:48.786156+00,,true,,01KHPX62GK2JN6MY,,standard,"{""az"":""Şəxsi gigiyena vasitələri"",""en"":"""",""ru"":""""}","{""az"":""Şəxsi gigiyena vasitələri\n"",""en"":"""",""ru"":""""}"
01KHPX62GMKWS2CK,2024-03-15 19:57:33.417854+00,,true,,01KHPX62GKNXP8R5,,standard,"{""az"":""Meyvə və Tərəvəz balonları"",""en"":"""",""ru"":""""}","{""az"":""Meyvə və Tərəvəz balonları\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMM3P0Y4,2024-03-15 19:14:02.721496+00,,true,,01KHPX62GKNK5H1Q,,standard,"{""az"":""Qoyun əti"",""en"":"""",""ru"":""""}","{""az"":""Qoyun əti\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMAT0FB,2024-03-15 19:54:04.822503+00,,true,,01KHPX62GKSZ64E4,,standard,"{""az"":""Müalicəvi çaylar"",""en"":"""",""ru"":""""}","{""az"":""Müalicəvi çaylar\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMATTSN,2024-03-14 06:09:09.209347+00,,true,,01KHPX62GMB10HKC,,standard,"{""az"":""Məişət cihazları və elektronika"",""en"":"""",""ru"":""""}","{""az"":""Məişət cihazları və elektronika\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMBYHQ4,2024-03-08 19:08:38.8036+00,,true,,01KHPX62GK8YK090,,standard,"{""az"":""İdman və əyləncə aləmi"",""en"":"""",""ru"":""""}","{""az"":""İdman və əyləncə aləmi"",""en"":"""",""ru"":""""}"
01KHPX62GMMD0SMA,2024-03-15 19:19:19.37017+00,,true,,01KHPX62GKJT6T7F,,standard,"{""az"":""Qarnirlər və Souzlar"",""en"":"""",""ru"":""""}","{""az"":""Qarnirlər və Souzlar\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMHR709,2024-03-08 18:58:48.669945+00,,true,,01KHPX62GK5E67NT,,standard,"{""az"":""Sahiblənərəm"",""en"":"""",""ru"":""""}","{""az"":""Sahiblənərəm"",""en"":"""",""ru"":""""}"
01KHPX62GMMMG6V4,2024-03-18 20:34:21.928716+00,,true,,01KHPX62GKR7B1QW,,standard,"{""az"":""Digər"",""en"":"""",""ru"":""""}","{""az"":""\nDigər\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMQ18HX,2024-03-07 20:00:01.761599+00,,true,,01KHPX62GKGX3BSS,,standard,"{""az"":""Digər Nəqliyyat"",""en"":"""",""ru"":""""}","{""az"":""Digər Nəqliyyat"",""en"":"""",""ru"":""""}"
01KHPX62GMMYP82M,2024-03-14 20:44:56.689523+00,,true,,01KHPX62GK7N1ZXV,,standard,"{""az"":""Ətirlər və dezodarantlar"",""en"":"""",""ru"":""""}","{""az"":""Ətirlər və dezodarantlar\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMMZ7PZT,2024-03-12 20:07:07.25636+00,,true,,01KHPX62GM1HVCPH,,standard,"{""az"":""Macəralar, hekayələr və daha çox"",""en"":"""",""ru"":""""}","{""az"":""\nMacəralar, hekayələr və daha çox\n"",""en"":"""",""ru"":""""}"
01KHPX62GMN0PY27,2024-03-12 20:08:44.845853+00,,true,,01KHPX62GM1HVCPH,,standard,"{""az"":""İnkişaf və təlim"",""en"":"""",""ru"":""""}","{""az"":""İnkişaf və təlim\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMN4BH9M,2024-03-07 20:06:39.434939+00,,true,,01KHPX62GK7VM447,,standard,"{""az"":""Həyət evləri və bağ evləri"",""en"":"""",""ru"":""""}","{""az"":""Həyət evləri və bağ evləri"",""en"":"""",""ru"":""""}"
01KHPX62GMN60D8N,2024-03-18 20:14:21.714213+00,,true,,01KHPX62GKQ42KHP,,standard,"{""az"":""Uniformalar və xüsusi geyimlər"",""en"":"""",""ru"":""""}","{""az"":""Uniformalar və xüsusi geyimlər\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMN6QR6Q,2024-03-15 19:35:53.394086+00,,true,,01KHPX62GK8TQ8TV,,standard,"{""az"":""Pendir"",""en"":"""",""ru"":""""}","{""az"":""Pendir\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMNAAVYN,2024-03-12 20:02:36.348002+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Danışıq terapisti kursu"",""en"":"""",""ru"":""""}","{""az"":""Danışıq terapisti kursu\n"",""en"":"""",""ru"":""""}"
